word_or_phrase,definition,etymology,english_cognates,related_words,language
registre,[To be translated],Found 8 times across documents,,,french
parle,[To be translated],Found 8 times across documents,,,french
dès,[To be translated],Found 8 times across documents,,,french
saint,[To be translated],Found 8 times across documents,,,french
change,[To be translated],Found 8 times across documents,,,french
utilisent,[To be translated],Found 8 times across documents,,,french
voyelle,[To be translated],Found 8 times across documents,,,french
natif,[To be translated],Found 8 times across documents,,,french
étude,[To be translated],Found 8 times across documents,,,french
accueil,[To be translated],Found 8 times across documents,,,french
sonne,[To be translated],Found 8 times across documents,,,french
monter,[To be translated],Found 8 times across documents,,,french
all,[To be translated],Found 8 times across documents,,,french
want,[To be translated],Found 8 times across documents,,,french
mars,[To be translated],Found 8 times across documents,,,french
without,[To be translated],Found 8 times across documents,,,french
ideas,[To be translated],Found 8 times across documents,,,french
between,[To be translated],Found 8 times across documents,,,french
souhaité,[To be translated],Found 8 times across documents,,,french
vowel,[To be translated],Found 8 times across documents,,,french
examples,[To be translated],Found 8 times across documents,,,french
forms,[To be translated],Found 8 times across documents,,,french
help,[To be translated],Found 8 times across documents,,,french
friends,[To be translated],Found 8 times across documents,,,french
sentence,[To be translated],Found 8 times across documents,,,french
connectors,[To be translated],Found 8 times across documents,,,french
terms,[To be translated],Found 8 times across documents,,,french
hot,[To be translated],Found 8 times across documents,,,french
processeur,[To be translated],Found 8 times across documents,,,french
pdg,[To be translated],Found 8 times across documents,,,french
fréquents,[To be translated],Found 8 times across documents,,,french
avoid,[To be translated],Found 8 times across documents,,,french
sound,[To be translated],Found 8 times across documents,,,french
éventuellement,[To be translated],Found 8 times across documents,,,french
sortis,[To be translated],Found 8 times across documents,,,french
rentrer,[To be translated],Found 8 times across documents,,,french
naître,[To be translated],Found 8 times across documents,,,french
entrer,[To be translated],Found 8 times across documents,,,french
chercher,[To be translated],Found 8 times across documents,,,french
mins,[To be translated],Found 8 times across documents,,,french
objective,[To be translated],Found 8 times across documents,,,french
idiomatic,[To be translated],Found 8 times across documents,,,french
conduire,[To be translated],Found 7 times across documents,,,french
propos,[To be translated],Found 7 times across documents,,,french
régulation,[To be translated],Found 7 times across documents,,,french
protéger,[To be translated],Found 7 times across documents,,,french
lois,[To be translated],Found 7 times across documents,,,french
culturelles,[To be translated],Found 7 times across documents,,,french
télétravail,[To be translated],Found 7 times across documents,,,french
distance,[To be translated],Found 7 times across documents,,,french
bénévoles,[To be translated],Found 7 times across documents,,,french
pause,[To be translated],Found 7 times across documents,,,french
retard,[To be translated],Found 7 times across documents,,,french
conscience,[To be translated],Found 7 times across documents,,,french
enrichissantes,[To be translated],Found 7 times across documents,,,french
capacité,[To be translated],Found 7 times across documents,,,french
préparer,[To be translated],Found 7 times across documents,,,french
personnalisée,[To be translated],Found 7 times across documents,,,french
adapter,[To be translated],Found 7 times across documents,,,french
traitements,[To be translated],Found 7 times across documents,,,french
individu,[To be translated],Found 7 times across documents,,,french
permettant,[To be translated],Found 7 times across documents,,,french
proches,[To be translated],Found 7 times across documents,,,french
intérêt,[To be translated],Found 7 times across documents,,,french
réduisant,[To be translated],Found 7 times across documents,,,french
excessive,[To be translated],Found 7 times across documents,,,french
formation,[To be translated],Found 7 times across documents,,,french
environnemental,[To be translated],Found 7 times across documents,,,french
modernes,[To be translated],Found 7 times across documents,,,french
chaleur,[To be translated],Found 7 times across documents,,,french
locale,[To be translated],Found 7 times across documents,,,french
smart,[To be translated],Found 7 times across documents,,,french
urgence,[To be translated],Found 7 times across documents,,,french
médical,[To be translated],Found 7 times across documents,,,french
partage,[To be translated],Found 7 times across documents,,,french
charge,[To be translated],Found 7 times across documents,,,french
enfin,[To be translated],Found 7 times across documents,,,french
défis,[To be translated],Found 7 times across documents,,,french
particulier,[To be translated],Found 7 times across documents,,,french
actuel,[To be translated],Found 7 times across documents,,,french
remettre,[To be translated],Found 7 times across documents,,,french
confiance,[To be translated],Found 7 times across documents,,,french
dynamique,[To be translated],Found 7 times across documents,,,french
communication,[To be translated],Found 7 times across documents,,,french
objectifs,[To be translated],Found 7 times across documents,,,french
activité,[To be translated],Found 7 times across documents,,,french
travaillent,[To be translated],Found 7 times across documents,,,french
épuisement,[To be translated],Found 7 times across documents,,,french
homard,[To be translated],Found 7 times across documents,,,french
voyages,[To be translated],Found 7 times across documents,,,french
sources,[To be translated],Found 7 times across documents,,,french
vélo,[To be translated],Found 7 times across documents,,,french
incite,[To be translated],Found 7 times across documents,,,french
échelle,[To be translated],Found 7 times across documents,,,french
devons,[To be translated],Found 7 times across documents,,,french
augmenter,[To be translated],Found 7 times across documents,,,french
âge,[To be translated],Found 7 times across documents,,,french
chance,[To be translated],Found 7 times across documents,,,french
vidéo,[To be translated],Found 7 times across documents,,,french
uniques,[To be translated],Found 7 times across documents,,,french
favorisant,[To be translated],Found 7 times across documents,,,french
femmes,[To be translated],Found 7 times across documents,,,french
biais,[To be translated],Found 7 times across documents,,,french
émotion,[To be translated],Found 7 times across documents,,,french
parents,[To be translated],Found 7 times across documents,,,french
avenir,[To be translated],Found 7 times across documents,,,french
actuelles,[To be translated],Found 7 times across documents,,,french
intégrer,[To be translated],Found 7 times across documents,,,french
premier,[To be translated],Found 7 times across documents,,,french
extension,[To be translated],Found 7 times across documents,,,french
respect,[To be translated],Found 7 times across documents,,,french
pluriel,[To be translated],Found 7 times across documents,,,french
enseigner,[To be translated],Found 7 times across documents,,,french
voie,[To be translated],Found 7 times across documents,,,french
love,[To be translated],Found 7 times across documents,,,french
décembre,[To be translated],Found 7 times across documents,,,french
vis,[To be translated],Found 7 times across documents,,,french
court,[To be translated],Found 7 times across documents,,,french
mauvais,[To be translated],Found 7 times across documents,,,french
mort,[To be translated],Found 7 times across documents,,,french
faisant,[To be translated],Found 7 times across documents,,,french
sérieux,[To be translated],Found 7 times across documents,,,french
médicales,[To be translated],Found 7 times across documents,,,french
secteurs,[To be translated],Found 7 times across documents,,,french
famille,[To be translated],Found 7 times across documents,,,french
couple,[To be translated],Found 7 times across documents,,,french
lit,[To be translated],Found 7 times across documents,,,french
stupide,[To be translated],Found 7 times across documents,,,french
plaisir,[To be translated],Found 7 times across documents,,,french
coûte,[To be translated],Found 7 times across documents,,,french
scène,[To be translated],Found 7 times across documents,,,french
séries,[To be translated],Found 7 times across documents,,,french
font,[To be translated],Found 7 times across documents,,,french
conseils,[To be translated],Found 7 times across documents,,,french
désignait,[To be translated],Found 7 times across documents,,,french
ajouter,[To be translated],Found 7 times across documents,,,french
chaleureuse,[To be translated],Found 7 times across documents,,,french
faisons,[To be translated],Found 7 times across documents,,,french
poids,[To be translated],Found 7 times across documents,,,french
suggestion,[To be translated],Found 7 times across documents,,,french
spécifique,[To be translated],Found 7 times across documents,,,french
commence,[To be translated],Found 7 times across documents,,,french
schémas,[To be translated],Found 7 times across documents,,,french
courantes,[To be translated],Found 7 times across documents,,,french
texte,[To be translated],Found 7 times across documents,,,french
courtes,[To be translated],Found 7 times across documents,,,french
voitures,[To be translated],Found 7 times across documents,,,french
soient,[To be translated],Found 7 times across documents,,,french
feuille,[To be translated],Found 7 times across documents,,,french
mettons,[To be translated],Found 7 times across documents,,,french
his,[To be translated],Found 7 times across documents,,,french
gender,[To be translated],Found 7 times across documents,,,french
mettent,[To be translated],Found 7 times across documents,,,french
mardi,[To be translated],Found 7 times across documents,,,french
will,[To be translated],Found 7 times across documents,,,french
argent,[To be translated],Found 7 times across documents,,,french
librairie,[To be translated],Found 7 times across documents,,,french
irréguliers,[To be translated],Found 7 times across documents,,,french
sois,[To be translated],Found 7 times across documents,,,french
savons,[To be translated],Found 7 times across documents,,,french
venez,[To be translated],Found 7 times across documents,,,french
prenons,[To be translated],Found 7 times across documents,,,french
prenez,[To be translated],Found 7 times across documents,,,french
écris,[To be translated],Found 7 times across documents,,,french
reçois,[To be translated],Found 7 times across documents,,,french
ronds,[To be translated],Found 7 times across documents,,,french
nombreux,[To be translated],Found 7 times across documents,,,french
publiques,[To be translated],Found 7 times across documents,,,french
ouvert,[To be translated],Found 7 times across documents,,,french
célèbre,[To be translated],Found 7 times across documents,,,french
longtemps,[To be translated],Found 7 times across documents,,,french
shopping,[To be translated],Found 7 times across documents,,,french
dialogues,[To be translated],Found 7 times across documents,,,french
cinéma,[To be translated],Found 7 times across documents,,,french
direct,[To be translated],Found 7 times across documents,,,french
nice,[To be translated],Found 7 times across documents,,,french
degrés,[To be translated],Found 7 times across documents,,,french
revoir,[To be translated],Found 7 times across documents,,,french
frère,[To be translated],Found 7 times across documents,,,french
correcte,[To be translated],Found 7 times across documents,,,french
which,[To be translated],Found 7 times across documents,,,french
marcher,[To be translated],Found 7 times across documents,,,french
paul,[To be translated],Found 7 times across documents,,,french
combien,[To be translated],Found 7 times across documents,,,french
introduce,[To be translated],Found 7 times across documents,,,french
pluie,[To be translated],Found 7 times across documents,,,french
tôt,[To be translated],Found 7 times across documents,,,french
transcript,[To be translated],Found 7 times across documents,,,french
wait,[To be translated],Found 7 times across documents,,,french
open,[To be translated],Found 7 times across documents,,,french
com,[To be translated],Found 7 times across documents,,,french
fou,[To be translated],Found 7 times across documents,,,french
assister,[To be translated],Found 7 times across documents,,,french
lesson,[To be translated],Found 7 times across documents,,,french
bouche,[To be translated],Found 7 times across documents,,,french
short,[To be translated],Found 7 times across documents,,,french
cent,[To be translated],Found 7 times across documents,,,french
tombé,[To be translated],Found 7 times across documents,,,french
confused,[To be translated],Found 7 times across documents,,,french
citoyenneté,[To be translated],Found 7 times across documents,,,french
useful,[To be translated],Found 7 times across documents,,,french
article,[To be translated],Found 7 times across documents,,,french
rest,[To be translated],Found 7 times across documents,,,french
pass,[To be translated],Found 7 times across documents,,,french
event,[To be translated],Found 7 times across documents,,,french
nécessaire,[To be translated],Found 6 times across documents,,,french
humour,[To be translated],Found 6 times across documents,,,french
essentielles,[To be translated],Found 6 times across documents,,,french
individus,[To be translated],Found 6 times across documents,,,french
aborder,[To be translated],Found 6 times across documents,,,french
emploi,[To be translated],Found 6 times across documents,,,french
affectant,[To be translated],Found 6 times across documents,,,french
déplacements,[To be translated],Found 6 times across documents,,,french
freiner,[To be translated],Found 6 times across documents,,,french
essentielle,[To be translated],Found 6 times across documents,,,french
nécessité,[To be translated],Found 6 times across documents,,,french
digital,[To be translated],Found 6 times across documents,,,french
detox,[To be translated],Found 6 times across documents,,,french
active,[To be translated],Found 6 times across documents,,,french
enrichissant,[To be translated],Found 6 times across documents,,,french
pratiques,[To be translated],Found 6 times across documents,,,french
génétique,[To be translated],Found 6 times across documents,,,french
risques,[To be translated],Found 6 times across documents,,,french
matière,[To be translated],Found 6 times across documents,,,french
large,[To be translated],Found 6 times across documents,,,french
contenu,[To be translated],Found 6 times across documents,,,french
exposition,[To be translated],Found 6 times across documents,,,french
vérité,[To be translated],Found 6 times across documents,,,french
meilleures,[To be translated],Found 6 times across documents,,,french
concentration,[To be translated],Found 6 times across documents,,,french
besoins,[To be translated],Found 6 times across documents,,,french
surcharge,[To be translated],Found 6 times across documents,,,french
fluidité,[To be translated],Found 6 times across documents,,,french
deuxième,[To be translated],Found 6 times across documents,,,french
différences,[To be translated],Found 6 times across documents,,,french
fonctionne,[To be translated],Found 6 times across documents,,,french
chambre,[To be translated],Found 6 times across documents,,,french
continuer,[To be translated],Found 6 times across documents,,,french
premières,[To be translated],Found 6 times across documents,,,french
faible,[To be translated],Found 6 times across documents,,,french
nécessairement,[To be translated],Found 6 times across documents,,,french
employés,[To be translated],Found 6 times across documents,,,french
cause,[To be translated],Found 6 times across documents,,,french
divers,[To be translated],Found 6 times across documents,,,french
complexe,[To be translated],Found 6 times across documents,,,french
accrue,[To be translated],Found 6 times across documents,,,french
possible,[To be translated],Found 6 times across documents,,,french
supplémentaires,[To be translated],Found 6 times across documents,,,french
repas,[To be translated],Found 6 times across documents,,,french
parlez,[To be translated],Found 6 times across documents,,,french
françaises,[To be translated],Found 6 times across documents,,,french
météo,[To be translated],Found 6 times across documents,,,french
loisirs,[To be translated],Found 6 times across documents,,,french
sport,[To be translated],Found 6 times across documents,,,french
responsabilité,[To be translated],Found 6 times across documents,,,french
diminue,[To be translated],Found 6 times across documents,,,french
produits,[To be translated],Found 6 times across documents,,,french
efforts,[To be translated],Found 6 times across documents,,,french
alternatives,[To be translated],Found 6 times across documents,,,french
nécessitent,[To be translated],Found 6 times across documents,,,french
nécessaires,[To be translated],Found 6 times across documents,,,french
comportement,[To be translated],Found 6 times across documents,,,french
humain,[To be translated],Found 6 times across documents,,,french
storyworth,[To be translated],Found 6 times across documents,,,french
europe,[To be translated],Found 6 times across documents,,,french
environ,[To be translated],Found 6 times across documents,,,french
agit,[To be translated],Found 6 times across documents,,,french
explication,[To be translated],Found 6 times across documents,,,french
durée,[To be translated],Found 6 times across documents,,,french
loti,[To be translated],Found 6 times across documents,,,french
équivalents,[To be translated],Found 6 times across documents,,,french
reconnaître,[To be translated],Found 6 times across documents,,,french
dents,[To be translated],Found 6 times across documents,,,french
notion,[To be translated],Found 6 times across documents,,,french
qualités,[To be translated],Found 6 times across documents,,,french
locales,[To be translated],Found 6 times across documents,,,french
réfléchir,[To be translated],Found 6 times across documents,,,french
repose,[To be translated],Found 6 times across documents,,,french
sexe,[To be translated],Found 6 times across documents,,,french
reflète,[To be translated],Found 6 times across documents,,,french
formé,[To be translated],Found 6 times across documents,,,french
naturelle,[To be translated],Found 6 times across documents,,,french
introduction,[To be translated],Found 6 times across documents,,,french
domaines,[To be translated],Found 6 times across documents,,,french
concept,[To be translated],Found 6 times across documents,,,french
œuvres,[To be translated],Found 6 times across documents,,,french
riche,[To be translated],Found 6 times across documents,,,french
équilibre,[To be translated],Found 6 times across documents,,,french
celles,[To be translated],Found 6 times across documents,,,french
first,[To be translated],Found 6 times across documents,,,french
down,[To be translated],Found 6 times across documents,,,french
sombre,[To be translated],Found 6 times across documents,,,french
dark,[To be translated],Found 6 times across documents,,,french
full,[To be translated],Found 6 times across documents,,,french
comprend,[To be translated],Found 6 times across documents,,,french
flâner,[To be translated],Found 6 times across documents,,,french
simples,[To be translated],Found 6 times across documents,,,french
ralentir,[To be translated],Found 6 times across documents,,,french
attitude,[To be translated],Found 6 times across documents,,,french
prator,[To be translated],Found 6 times across documents,,,french
actuellement,[To be translated],Found 6 times across documents,,,french
parce,[To be translated],Found 6 times across documents,,,french
naturellement,[To be translated],Found 6 times across documents,,,french
plupart,[To be translated],Found 6 times across documents,,,french
perdre,[To be translated],Found 6 times across documents,,,french
envers,[To be translated],Found 6 times across documents,,,french
clarifier,[To be translated],Found 6 times across documents,,,french
riches,[To be translated],Found 6 times across documents,,,french
heureux,[To be translated],Found 6 times across documents,,,french
agréable,[To be translated],Found 6 times across documents,,,french
doute,[To be translated],Found 6 times across documents,,,french
dormir,[To be translated],Found 6 times across documents,,,french
réussir,[To be translated],Found 6 times across documents,,,french
faim,[To be translated],Found 6 times across documents,,,french
effort,[To be translated],Found 6 times across documents,,,french
nouvel,[To be translated],Found 6 times across documents,,,french
changer,[To be translated],Found 6 times across documents,,,french
podcasts,[To be translated],Found 6 times across documents,,,french
applications,[To be translated],Found 6 times across documents,,,french
objectif,[To be translated],Found 6 times across documents,,,french
final,[To be translated],Found 6 times across documents,,,french
international,[To be translated],Found 6 times across documents,,,french
ambiance,[To be translated],Found 6 times across documents,,,french
tellement,[To be translated],Found 6 times across documents,,,french
jouer,[To be translated],Found 6 times across documents,,,french
tard,[To be translated],Found 6 times across documents,,,french
dessus,[To be translated],Found 6 times across documents,,,french
courage,[To be translated],Found 6 times across documents,,,french
force,[To be translated],Found 6 times across documents,,,french
objet,[To be translated],Found 6 times across documents,,,french
presque,[To be translated],Found 6 times across documents,,,french
fort,[To be translated],Found 6 times across documents,,,french
étroitement,[To be translated],Found 6 times across documents,,,french
boire,[To be translated],Found 6 times across documents,,,french
incluent,[To be translated],Found 6 times across documents,,,french
parles,[To be translated],Found 6 times across documents,,,french
fonction,[To be translated],Found 6 times across documents,,,french
places,[To be translated],Found 6 times across documents,,,french
ombre,[To be translated],Found 6 times across documents,,,french
papier,[To be translated],Found 6 times across documents,,,french
château,[To be translated],Found 6 times across documents,,,french
linge,[To be translated],Found 6 times across documents,,,french
produit,[To be translated],Found 6 times across documents,,,french
voudrais,[To be translated],Found 6 times across documents,,,french
faisait,[To be translated],Found 6 times across documents,,,french
nord,[To be translated],Found 6 times across documents,,,french
high,[To be translated],Found 6 times across documents,,,french
exceptions,[To be translated],Found 6 times across documents,,,french
arrivée,[To be translated],Found 6 times across documents,,,french
description,[To be translated],Found 6 times across documents,,,french
gâteau,[To be translated],Found 6 times across documents,,,french
déjeuner,[To be translated],Found 6 times across documents,,,french
fus,[To be translated],Found 6 times across documents,,,french
savez,[To be translated],Found 6 times across documents,,,french
venons,[To be translated],Found 6 times across documents,,,french
devez,[To be translated],Found 6 times across documents,,,french
disons,[To be translated],Found 6 times across documents,,,french
comprennent,[To be translated],Found 6 times across documents,,,french
connaissons,[To be translated],Found 6 times across documents,,,french
connaissez,[To be translated],Found 6 times across documents,,,french
connaissent,[To be translated],Found 6 times across documents,,,french
recevoir,[To be translated],Found 6 times across documents,,,french
fini,[To be translated],Found 6 times across documents,,,french
tromper,[To be translated],Found 6 times across documents,,,french
déception,[To be translated],Found 6 times across documents,,,french
italie,[To be translated],Found 6 times across documents,,,french
jean,[To be translated],Found 6 times across documents,,,french
restaurant,[To be translated],Found 6 times across documents,,,french
carré,[To be translated],Found 6 times across documents,,,french
populaires,[To be translated],Found 6 times across documents,,,french
utiles,[To be translated],Found 6 times across documents,,,french
vêtements,[To be translated],Found 6 times across documents,,,french
discussion,[To be translated],Found 6 times across documents,,,french
appartement,[To be translated],Found 6 times across documents,,,french
right,[To be translated],Found 6 times across documents,,,french
language,[To be translated],Found 6 times across documents,,,french
démonstratif,[To be translated],Found 6 times across documents,,,french
coincé,[To be translated],Found 6 times across documents,,,french
structure,[To be translated],Found 6 times across documents,,,french
here,[To be translated],Found 6 times across documents,,,french
rêverie,[To be translated],Found 6 times across documents,,,french
botte,[To be translated],Found 6 times across documents,,,french
pote,[To be translated],Found 6 times across documents,,,french
père,[To be translated],Found 6 times across documents,,,french
flots,[To be translated],Found 6 times across documents,,,french
courts,[To be translated],Found 6 times across documents,,,french
enfiler,[To be translated],Found 6 times across documents,,,french
idiomatiques,[To be translated],Found 6 times across documents,,,french
ciel,[To be translated],Found 6 times across documents,,,french
was,[To be translated],Found 6 times across documents,,,french
loup,[To be translated],Found 6 times across documents,,,french
partis,[To be translated],Found 6 times across documents,,,french
parti,[To be translated],Found 6 times across documents,,,french
plume,[To be translated],Found 6 times across documents,,,french
préparé,[To be translated],Found 6 times across documents,,,french
souhaite,[To be translated],Found 6 times across documents,,,french
audio,[To be translated],Found 6 times across documents,,,french
vocale,[To be translated],Found 6 times across documents,,,french
muet,[To be translated],Found 6 times across documents,,,french
lent,[To be translated],Found 6 times across documents,,,french
doux,[To be translated],Found 6 times across documents,,,french
cherche,[To be translated],Found 6 times across documents,,,french
equivalent,[To be translated],Found 6 times across documents,,,french
ipa,[To be translated],Found 6 times across documents,,,french
œil,[To be translated],Found 6 times across documents,,,french
notes,[To be translated],Found 6 times across documents,,,french
yeux,[To be translated],Found 6 times across documents,,,french
pronounce,[To be translated],Found 6 times across documents,,,french
courants,[To be translated],Found 6 times across documents,,,french
animaux,[To be translated],Found 6 times across documents,,,french
inscrire,[To be translated],Found 6 times across documents,,,french
had,[To be translated],Found 6 times across documents,,,french
sain,[To be translated],Found 6 times across documents,,,french
sang,[To be translated],Found 6 times across documents,,,french
transition,[To be translated],Found 6 times across documents,,,french
present,[To be translated],Found 6 times across documents,,,french
hesitation,[To be translated],Found 6 times across documents,,,french
semble,[To be translated],Found 6 times across documents,,,french
souvenu,[To be translated],Found 6 times across documents,,,french
filler,[To be translated],Found 6 times across documents,,,french
commentation,[To be translated],Found 6 times across documents,,,french
areas,[To be translated],Found 6 times across documents,,,french
clarification,[To be translated],Found 6 times across documents,,,french
pièges,[To be translated],Found 6 times across documents,,,french
anglophones,[To be translated],Found 6 times across documents,,,french
traitement,[To be translated],Found 6 times across documents,,,french
inscrit,[To be translated],Found 6 times across documents,,,french
common,[To be translated],Found 6 times across documents,,,french
tech,[To be translated],Found 6 times across documents,,,french
devis,[To be translated],Found 6 times across documents,,,french
partenariat,[To be translated],Found 6 times across documents,,,french
current,[To be translated],Found 6 times across documents,,,french
bookstore,[To be translated],Found 6 times across documents,,,french
eventually,[To be translated],Found 6 times across documents,,,french
possibly,[To be translated],Found 6 times across documents,,,french
dur,[To be translated],Found 6 times across documents,,,french
lyon,[To be translated],Found 6 times across documents,,,french
finalement,[To be translated],Found 6 times across documents,,,french
casual,[To be translated],Found 6 times across documents,,,french
mrs,[To be translated],Found 6 times across documents,,,french
descendre,[To be translated],Found 6 times across documents,,,french
more,[To be translated],Found 6 times across documents,,,french
finir,[To be translated],Found 6 times across documents,,,french
lancer,[To be translated],Found 6 times across documents,,,french
excité,[To be translated],Found 6 times across documents,,,french
minimal,[To be translated],Found 6 times across documents,,,french
regional,[To be translated],Found 6 times across documents,,,french
american,[To be translated],Found 6 times across documents,,,french
drills,[To be translated],Found 6 times across documents,,,french
connerie,[To be translated],Found 6 times across documents,,,french
club,[To be translated],Found 6 times across documents,,,french
concert,[To be translated],Found 6 times across documents,,,french
finding,[To be translated],Found 6 times across documents,,,french
vieillissement,[To be translated],Found 6 times across documents,,,french
grec,[To be translated],Found 6 times across documents,,,french
interprétation,[To be translated],Found 6 times across documents,,,french
argumentation,[To be translated],Found 6 times across documents,,,french
diffusion,[To be translated],Found 5 times across documents,,,french
fausses,[To be translated],Found 5 times across documents,,,french
publique,[To be translated],Found 5 times across documents,,,french
haine,[To be translated],Found 5 times across documents,,,french
principes,[To be translated],Found 5 times across documents,,,french
troubles,[To be translated],Found 5 times across documents,,,french
légal,[To be translated],Found 5 times across documents,,,french
conséquences,[To be translated],Found 5 times across documents,,,french
perçu,[To be translated],Found 5 times across documents,,,french
clair,[To be translated],Found 5 times across documents,,,french
intéressants,[To be translated],Found 5 times across documents,,,french
papoter,[To be translated],Found 5 times across documents,,,french
tailler,[To be translated],Found 5 times across documents,,,french
bavette,[To be translated],Found 5 times across documents,,,french
offre,[To be translated],Found 5 times across documents,,,french
habitants,[To be translated],Found 5 times across documents,,,french
source,[To be translated],Found 5 times across documents,,,french
contribuer,[To be translated],Found 5 times across documents,,,french
polarisation,[To be translated],Found 5 times across documents,,,french
solidarité,[To be translated],Found 5 times across documents,,,french
sein,[To be translated],Found 5 times across documents,,,french
vivant,[To be translated],Found 5 times across documents,,,french
justifient,[To be translated],Found 5 times across documents,,,french
finitude,[To be translated],Found 5 times across documents,,,french
pousse,[To be translated],Found 5 times across documents,,,french
résistance,[To be translated],Found 5 times across documents,,,french
enseignement,[To be translated],Found 5 times across documents,,,french
développe,[To be translated],Found 5 times across documents,,,french
intelligence,[To be translated],Found 5 times across documents,,,french
artificielle,[To be translated],Found 5 times across documents,,,french
confidentialité,[To be translated],Found 5 times across documents,,,french
citoyens,[To be translated],Found 5 times across documents,,,french
informer,[To be translated],Found 5 times across documents,,,french
remplacer,[To be translated],Found 5 times across documents,,,french
développer,[To be translated],Found 5 times across documents,,,french
divertissement,[To be translated],Found 5 times across documents,,,french
accessibles,[To be translated],Found 5 times across documents,,,french
institutions,[To be translated],Found 5 times across documents,,,french
manipuler,[To be translated],Found 5 times across documents,,,french
comparaison,[To be translated],Found 5 times across documents,,,french
promouvoir,[To be translated],Found 5 times across documents,,,french
croissant,[To be translated],Found 5 times across documents,,,french
carbone,[To be translated],Found 5 times across documents,,,french
production,[To be translated],Found 5 times across documents,,,french
améliorent,[To be translated],Found 5 times across documents,,,french
confort,[To be translated],Found 5 times across documents,,,french
publics,[To be translated],Found 5 times across documents,,,french
restent,[To be translated],Found 5 times across documents,,,french
hôpitaux,[To be translated],Found 5 times across documents,,,french
enrichit,[To be translated],Found 5 times across documents,,,french
renouvelables,[To be translated],Found 5 times across documents,,,french
écologique,[To be translated],Found 5 times across documents,,,french
crée,[To be translated],Found 5 times across documents,,,french
talents,[To be translated],Found 5 times across documents,,,french
entier,[To be translated],Found 5 times across documents,,,french
trajets,[To be translated],Found 5 times across documents,,,french
expansion,[To be translated],Found 5 times across documents,,,french
pauvreté,[To be translated],Found 5 times across documents,,,french
urgences,[To be translated],Found 5 times across documents,,,french
financement,[To be translated],Found 5 times across documents,,,french
assurance,[To be translated],Found 5 times across documents,,,french
sécurité,[To be translated],Found 5 times across documents,,,french
réformes,[To be translated],Found 5 times across documents,,,french
avance,[To be translated],Found 5 times across documents,,,french
individuelle,[To be translated],Found 5 times across documents,,,french
logements,[To be translated],Found 5 times across documents,,,french
propre,[To be translated],Found 5 times across documents,,,french
animal,[To be translated],Found 5 times across documents,,,french
augmentation,[To be translated],Found 5 times across documents,,,french
repos,[To be translated],Found 5 times across documents,,,french
domicile,[To be translated],Found 5 times across documents,,,french
émissions,[To be translated],Found 5 times across documents,,,french
horaire,[To be translated],Found 5 times across documents,,,french
coûts,[To be translated],Found 5 times across documents,,,french
salariés,[To be translated],Found 5 times across documents,,,french
calme,[To be translated],Found 5 times across documents,,,french
difficultés,[To be translated],Found 5 times across documents,,,french
journaux,[To be translated],Found 5 times across documents,,,french
old,[To be translated],Found 5 times across documents,,,french
neige,[To be translated],Found 5 times across documents,,,french
alimentaires,[To be translated],Found 5 times across documents,,,french
météorologiques,[To be translated],Found 5 times across documents,,,french
libre,[To be translated],Found 5 times across documents,,,french
photographie,[To be translated],Found 5 times across documents,,,french
concerne,[To be translated],Found 5 times across documents,,,french
aimé,[To be translated],Found 5 times across documents,,,french
personnels,[To be translated],Found 5 times across documents,,,french
privilégier,[To be translated],Found 5 times across documents,,,french
agriculture,[To be translated],Found 5 times across documents,,,french
effet,[To be translated],Found 5 times across documents,,,french
comportements,[To be translated],Found 5 times across documents,,,french
détriment,[To be translated],Found 5 times across documents,,,french
clés,[To be translated],Found 5 times across documents,,,french
oublié,[To be translated],Found 5 times across documents,,,french
tient,[To be translated],Found 5 times across documents,,,french
humains,[To be translated],Found 5 times across documents,,,french
grèves,[To be translated],Found 5 times across documents,,,french
montre,[To be translated],Found 5 times across documents,,,french
semaines,[To be translated],Found 5 times across documents,,,french
pourtant,[To be translated],Found 5 times across documents,,,french
perçue,[To be translated],Found 5 times across documents,,,french
intenses,[To be translated],Found 5 times across documents,,,french
départ,[To be translated],Found 5 times across documents,,,french
contrairement,[To be translated],Found 5 times across documents,,,french
compare,[To be translated],Found 5 times across documents,,,french
récupérer,[To be translated],Found 5 times across documents,,,french
lot,[To be translated],Found 5 times across documents,,,french
off,[To be translated],Found 5 times across documents,,,french
financière,[To be translated],Found 5 times across documents,,,french
deal,[To be translated],Found 5 times across documents,,,french
construction,[To be translated],Found 5 times across documents,,,french
vide,[To be translated],Found 5 times across documents,,,french
garage,[To be translated],Found 5 times across documents,,,french
croquer,[To be translated],Found 5 times across documents,,,french
artistiques,[To be translated],Found 5 times across documents,,,french
humaines,[To be translated],Found 5 times across documents,,,french
émotions,[To be translated],Found 5 times across documents,,,french
normes,[To be translated],Found 5 times across documents,,,french
apparence,[To be translated],Found 5 times across documents,,,french
renforçant,[To be translated],Found 5 times across documents,,,french
éléments,[To be translated],Found 5 times across documents,,,french
essentiels,[To be translated],Found 5 times across documents,,,french
profondément,[To be translated],Found 5 times across documents,,,french
attirer,[To be translated],Found 5 times across documents,,,french
porter,[To be translated],Found 5 times across documents,,,french
parties,[To be translated],Found 5 times across documents,,,french
technologiques,[To be translated],Found 5 times across documents,,,french
culturel,[To be translated],Found 5 times across documents,,,french
anglicismes,[To be translated],Found 5 times across documents,,,french
patrimoine,[To be translated],Found 5 times across documents,,,french
