french_text,frequency,english_translation,context
finitude,2,,
conscience,2,,
pousse,2,,
coûteuses,2,,
ralenter,2,,
suscitant,2,,
enrichissantes,2,,
purement,2,,
reposantes,2,,
crucial,2,,
ressourcer,2,,
initier,2,,
philosophique,2,,
argumenter,2,,
sociétaux,2,,
estiment,2,,
personnalisée,2,,
génétique,2,,
intelligence,2,,
artificielle,2,,
traitements,2,,
améliorant,2,,
inégal,2,,
creuser,2,,
hâte,2,,
commentaires,2,,
avertissement,2,,
news,2,,
remplacer,2,,
donnent,2,,
utilisateurs,2,,
structuré,2,,
via,2,,
plateformes,2,,
menaçant,2,,
augmentent,2,,
poussant,2,,
marques,2,,
toucher,2,,
encouragent,2,,
kill,2,,
chaîne,2,,
infrastructures,2,,
commun,2,,
éducatives,2,,
restent,2,,
populations,2,,
entrepreneuriat,2,,
concurrence,2,,
médicaux,2,,
cliniques,2,,
ouverture,2,,
énergies,2,,
renouvelables,2,,
dynamisme,2,,
métropoles,2,,
emplois,2,,
talents,2,,
périphérie,2,,
biodiversité,2,,
pauvreté,2,,
fluidité,2,,
socialisation,2,,
raconte,2,,
accident,2,,
décrit,2,,
seconde,2,,
expliquant,2,,
médecins,2,,
programmée,2,,
avance,2,,
numéros,2,,
expliquez,2,,
ticket,2,,
choisit,2,,
universel,2,,
principaux,2,,
répartition,2,,
aideront,2,,
règles,2,,
xvie,2,,
nécessairement,2,,
déficit,2,,
carence,2,,
quantité,2,,
suffit,2,,
embaucher,2,,
salaire,2,,
savaient,2,,
ménage,2,,
siège,2,,
casse,2,,
difficulté,2,,
efficacement,2,,
plages,2,,
hyperconnexion,2,,
connecté,2,,
affecter,2,,
influençant,2,,
diminution,2,,
dynamique,2,,
appartenance,2,,
organisation,2,,
amélioration,2,,
disparités,2,,
équipement,2,,
confortablement,2,,
réellement,2,,
travaillées,2,,
méthodes,2,,
adaptés,2,,
restant,2,,
flexible,2,,
stimulation,2,,
way,2,,
blancs,2,,
vice,2,,
mignon,2,,
conversationnel,2,,
aimez,2,,
spécialités,2,,
discutez,2,,
lecture,2,,
actualités,2,,
récemment,2,,
mobilité,2,,
profondeur,2,,
réchauffement,2,,
climatique,2,,
opter,2,,
marche,2,,
diminue,2,,
saison,2,,
sensibilisation,2,,
durables,2,,
incite,2,,
insignifiants,2,,
polluantes,2,,
responsables,2,,
continueront,2,,
alternatives,2,,
systèmes,2,,
largement,2,,
pervers,2,,
insister,2,,
environnementaux,2,,
limitée,2,,
élevés,2,,
total,2,,
influencé,2,,
augmenter,2,,
taxer,2,,
gardé,2,,
contact,2,,
anciens,2,,
préférés,2,,
marquants,2,,
réputation,2,,
mettant,2,,
perception,2,,
fréquentes,2,,
incomplète,2,,
bénéficient,2,,
grève,2,,
phénomène,2,,
exagéré,2,,
périodes,2,,
protection,2,,
provoquant,2,,
décennies,2,,
reçues,2,,
forcément,2,,
voisins,2,,
déconstruit,2,,
diffère,2,,
travailleurs,2,,
compare,2,,
explication,2,,
récupérer,2,,
delà,2,,
congé,2,,
ouvrés,2,,
varie,2,,
lotir,2,,
attribuer,2,,
germanique,2,,
attribuée,2,,
tirage,2,,
retrouve,2,,
diviser,2,,
privilégié,2,,
défavorable,2,,
off,2,,
financière,2,,
désavantagé,2,,
divisés,2,,
construction,2,,
grenier,2,,
époques,2,,
arts,2,,
offrant,2,,
variées,2,,
moteur,2,,
évolue,2,,
stimulant,2,,
débats,2,,
rejet,2,,
estime,2,,
renforçant,2,,
obsession,2,,
marginaliser,2,,
critères,2,,
uniformisation,2,,
essentiels,2,,
réfléchir,2,,
principe,2,,
opposé,2,,
darwiniens,2,,
poitrine,2,,
idéal,2,,
basé,2,,
drame,2,,
règle,2,,
naturelle,2,,
phase,2,,
concepts,2,,
représenter,2,,
valeurs,2,,
globalisé,2,,
invasion,2,,
affaiblit,2,,
disparition,2,,
profit,2,,
prestigieux,2,,
futile,2,,
jeu,2,,
mème,2,,
variations,2,,
biologie,2,,
impliquent,2,,
blagues,2,,
hyperfixé,2,,
permis,2,,
exposer,2,,
fondamental,2,,
protégé,2,,
contenir,2,,
paix,2,,
exploitation,2,,
souffrances,2,,
décisions,2,,
dérive,2,,
caractéristique,2,,
related,2,,
inadapté,2,,
éducatifs,2,,
qualifier,2,,
attentes,2,,
préfixe,2,,
conjugaison,2,,
adaptées,2,,
dœsn,2,,
coloniaux,2,,
origines,2,,
anciennes,2,,
colonies,2,,
victimes,2,,
hommage,2,,
reproduire,2,,
dynamiques,2,,
renforcement,2,,
interculturel,2,,
adresser,2,,
ressasser,2,,
colonial,2,,
progresser,2,,
colonialisme,2,,
frein,2,,
contemporains,2,,
inutile,2,,
passés,2,,
uniquement,2,,
récits,2,,
soudaine,2,,
liées,2,,
rapidité,2,,
love,2,,
someone,2,,
down,2,,
inattendu,2,,
obscure,2,,
indice,2,,
clue,2,,
hautement,2,,
catch,2,,
loisir,2,,
équilibrée,2,,
saine,2,,
associer,2,,
prévenir,2,,
professionnel,2,,
plaisirs,2,,
freinant,2,,
kristin,2,,
has,2,,
doubts,2,,
actuellement,2,,
parcours,2,,
leçons,2,,
fossiles,2,,
manqué,2,,
centaines,2,,
rendu,2,,
climat,2,,
much,2,,
really,2,,
parfaitement,2,,
statu,2,,
quo,2,,
perdre,2,,
reflètent,2,,
semblant,2,,
extrême,2,,
ennuyeux,2,,
centre,2,,
louis,2,,
déclin,2,,
mort,2,,
universelle,2,,
jacente,2,,
fall,2,,
care,2,,
gone,2,,
same,2,,
soin,2,,
tâches,2,,
decision,2,,
inévitables,2,,
déconstruire,2,,
préjugés,2,,
collaboration,2,,
sérieux,2,,
proud,2,,
iron,2,,
two,2,,
forward,2,,
investir,2,,
idea,2,,
failure,2,,
couler,2,,
coule,2,,
fail,2,,
fossil,2,,
demi,2,,
cher,2,,
engendrer,2,,
internationale,2,,
vrai,2,,
induire,2,,
obtenir,2,,
ère,2,,
avancer,2,,
caractère,2,,
épouser,2,,
disparaître,2,,
voilà,2,,
bonheur,2,,
intelligent,2,,
revenir,2,,
sexualité,2,,
intéresse,2,,
sûrement,2,,
considéré,2,,
mourir,2,,
retrouver,2,,
soirée,2,,
posséder,2,,
dormir,2,,
interdire,2,,
vente,2,,
hasard,2,,
danger,2,,
milliards,2,,
programmes,2,,
meurent,2,,
admettre,2,,
manger,2,,
stade,2,,
fantasme,2,,
études,2,,
sinon,2,,
preuve,2,,
réaliser,2,,
retrouvé,2,,
classes,2,,
sexuels,2,,
essence,2,,
former,2,,
profiter,2,,
geste,2,,
lourd,2,,
complètement,2,,
new,2,,
flies,2,,
fun,2,,
stage,2,,
mistake,2,,
fixer,2,,
stricts,2,,
pauses,2,,
processus,2,,
reprendre,2,,
victoires,2,,
autrement,2,,
ludique,2,,
joue,2,,
excédé,2,,
intention,2,,
découvert,2,,
revue,2,,
appliqué,2,,
suivante,2,,
principale,2,,
méthode,2,,
dégoût,2,,
angry,2,,
fâché,2,,
raclette,2,,
plat,2,,
amitié,2,,
accueillante,2,,
bienveillante,2,,
emprunté,2,,
euse,2,,
température,2,,
coussins,2,,
génération,2,,
salon,2,,
casanière,2,,
casanier,2,,
préférence,2,,
xviie,2,,
attaché,2,,
homebody,2,,
home,2,,
traduire,2,,
entourée,2,,
décidé,2,,
bonus,2,,
puissant,2,,
magnifique,2,,
bord,2,,
attraper,2,,
voleur,2,,
document,2,,
paraguay,2,,
membres,2,,
historique,2,,
différent,2,,
rémunération,2,,
rejoignent,2,,
symboliquement,2,,
rattache,2,,
courage,2,,
attribuant,2,,
attribuez,2,,
élevant,2,,
cœxistent,2,,
distinguer,2,,
positive,2,,
loué,2,,
savait,2,,
photos,2,,
pleines,2,,
pencher,2,,
incliner,2,,
suspendu,2,,
inclinaison,2,,
réfléchi,2,,
own,2,,
bloquée,2,,
contraire,2,,
conseiller,2,,
marque,2,,
précaution,2,,
passionnée,2,,
fortement,2,,
intéressée,2,,
intellectuel,2,,
frapper,2,,
atteint,2,,
attachement,2,,
phénomènes,2,,
étroit,2,,
lier,2,,
issue,2,,
closely,2,,
importante,2,,
oiseaux,2,,
envol,2,,
avancée,2,,
apogée,2,,
spend,2,,
feedback,2,,
allemand,2,,
coutume,2,,
faisaient,2,,
boissons,2,,
saviez,2,,
associée,2,,
italien,2,,
apparentées,2,,
interjection,2,,
tchin,2,,
qing,2,,
éclairage,2,,
forts,2,,
robot,2,,
super,2,,
web,2,,
remarquer,2,,
maths,2,,
suivent,2,,
courantes,2,,
deviner,2,,
parles,2,,
lues,2,,
brillant,2,,
dirait,2,,
magie,2,,
revenons,2,,
parlons,2,,
empiler,2,,
petits,2,,
entières,2,,
détaillée,2,,
saisir,2,,
puzzles,2,,
compliqués,2,,
précision,2,,
vérifier,2,,
tomber,2,,
commencer,2,,
convient,2,,
global,2,,
meilleur,2,,
garées,2,,
gagner,2,,
casiers,2,,
lampe,2,,
poche,2,,
ombres,2,,
colorée,2,,
feuille,2,,
trace,2,,
angles,2,,
importants,2,,
création,2,,
latérale,2,,
fuseau,2,,
his,2,,
existence,2,,
repassage,2,,
bâtiments,2,,
maisons,2,,
lavait,2,,
main,2,,
rivière,2,,
laver,2,,
laundry,2,,
étape,2,,
manhattan,2,,
instead,2,,
jeter,2,,
envoyer,2,,
send,2,,
pot,2,,
vague,2,,
faisait,2,,
thick,2,,
fête,2,,
orlando,2,,
ordres,2,,
sheep,2,,
marin,2,,
décapode,2,,
gastronomie,2,,
eaux,2,,
néerlandais,2,,
crustacés,2,,
évoquant,2,,
délicate,2,,
luxueux,2,,
viendrai,2,,
sorti,2,,
hypothétiques,2,,
viennes,2,,
particulièrement,2,,
terminaison,2,,
musicien,2,,
boisson,2,,
age,2,,
ade,2,,
ance,2,,
ence,2,,
silence,2,,
arrivée,2,,
projet,2,,
tourisme,2,,
surprise,2,,
ouest,2,,
avril,2,,
chêne,2,,
ponctuelle,2,,
fit,2,,
ferai,2,,
mêmes,2,,
littéraires,2,,
simultanée,2,,
composés,2,,
fis,2,,
eût,2,,
allais,2,,
allait,2,,
allions,2,,
alliez,2,,
irez,2,,
pouvais,2,,
pouvait,2,,
pus,2,,
put,2,,
voulions,2,,
vouliez,2,,
voulus,2,,
savais,2,,
sus,2,,
saurais,2,,
voyais,2,,
voyait,2,,
voyions,2,,
voyiez,2,,
verrais,2,,
venais,2,,
venions,2,,
veniez,2,,
vins,2,,
viendrais,2,,
devais,2,,
devions,2,,
deviez,2,,
dus,2,,
doive,2,,
prenais,2,,
prenions,2,,
preniez,2,,
prendrais,2,,
prenne,2,,
disais,2,,
disions,2,,
disiez,2,,
dira,2,,
dirais,2,,
dise,2,,
mettais,2,,
mettions,2,,
mettiez,2,,
mettrais,2,,
mette,2,,
tenais,2,,
tenions,2,,
teniez,2,,
tins,2,,
tiendrais,2,,
tienne,2,,
comprenais,2,,
comprenions,2,,
compreniez,2,,
comprendrais,2,,
comprenne,2,,
connaissais,2,,
connaissions,2,,
connaissiez,2,,
connaîtrais,2,,
connaisse,2,,
lisais,2,,
lisions,2,,
lisiez,2,,
lus,2,,
liras,2,,
lirais,2,,
lise,2,,
écrivais,2,,
écrivions,2,,
écriviez,2,,
écrivis,2,,
écrirais,2,,
écrive,2,,
recevais,2,,
recevions,2,,
receviez,2,,
recevaient,2,,
reçus,2,,
recevrais,2,,
reçoive,2,,
croyais,2,,
croyions,2,,
croyiez,2,,
crus,2,,
croirais,2,,
croie,2,,
fini,2,,
next,2,,
mépriser,2,,
dédain,2,,
employée,2,,
décevoir,2,,
tromper,2,,
angleterre,2,,
cour,2,,
métrique,2,,
mesures,2,,
décret,2,,
unesco,2,,
invention,2,,
popularisé,2,,
manoir,2,,
régionales,2,,
parlées,2,,
basque,2,,
corse,2,,
belges,2,,
suisses,2,,
vingt,2,,
jean,2,,
parisiennes,2,,
gratuites,2,,
xviiie,2,,
boulanger,2,,
véritable,2,,
variétés,2,,
président,2,,
fromages,2,,
bouquinistes,2,,
seine,2,,
occasion,2,,
science,2,,
surnom,2,,
imaginaire,2,,
collectif,2,,
eiffel,2,,
michelin,2,,
fondé,2,,
frères,2,,
chiens,2,,
regorge,2,,
cimetières,2,,
conduit,2,,
live,2,,
gras,2,,
chars,2,,
organisations,2,,
costumes,2,,
fantômes,2,,
longtemps,2,,
cérémonies,2,,
boys,2,,
sandwiches,2,,
cocktail,2,,
colorés,2,,
balcons,2,,
collection,2,,
garden,2,,
lagniappe,2,,
beignets,2,,
chicorée,2,,
typiques,2,,
intéressantes,2,,
yellowstone,2,,
californie,2,,
arizona,2,,
everglades,2,,
mangroves,2,,
écosystèmes,2,,
marais,2,,
tropicales,2,,
humides,2,,
mammoth,2,,
cave,2,,
trouvés,2,,
visité,2,,
destination,2,,
amoureux,2,,
denali,2,,
mont,2,,
sommet,2,,
hawaï,2,,
volcans,2,,
actifs,2,,
géologique,2,,
olympic,2,,
sauvage,2,,
utah,2,,
merveille,2,,
zone,2,,
caisse,2,,
symptômes,2,,
bureau,2,,
réunions,2,,
éducatif,2,,
scolaire,2,,
relatifs,2,,
sportifs,2,,
gadgets,2,,
informatiques,2,,
genres,2,,
musicaux,2,,
instruments,2,,
quotidiennes,2,,
inviter,2,,
coutumes,2,,
durabilité,2,,
menus,2,,
souvenirs,2,,
ingénuité,2,,
similaire,2,,
playing,2,,
innocent,2,,
came,2,,
dehors,2,,
gamme,2,,
scale,2,,
sing,2,,
tune,2,,
right,2,,
degrés,2,,
prêt,2,,
bancaire,2,,
loan,2,,
their,2,,
language,2,,
know,2,,
revoir,2,,
attentivement,2,,
résignation,2,,
dommage,2,,
grave,2,,
pire,2,,
accepte,2,,
too,2,,
étendu,2,,
comptes,2,,
wind,2,,
stuck,2,,
familières,2,,
académiques,2,,
académique,2,,
structure,2,,
politesse,2,,
affaires,2,,
remplacent,2,,
répétition,2,,
camus,2,,
préféré,2,,
adjectifs,2,,
garçon,2,,
lucas,2,,
choisis,2,,
conseillé,2,,
août,2,,
triste,2,,
bleu,2,,
céline,2,,
tedxtours,2,,
tedxbulle,2,,
philippe,2,,
foule,2,,
jaune,2,,
nuance,2,,
renvoie,2,,
animale,2,,
griffonner,2,,
aussitôt,2,,
sitôt,2,,
immédiatement,2,,
immediately,2,,
meaning,2,,
over,2,,
evolved,2,,
referencing,2,,
while,2,,
remuer,2,,
contemplation,2,,
égare,2,,
imaginations,2,,
tranquillité,2,,
inspiration,2,,
divagation,2,,
rêveries,2,,
poétiques,2,,
rêver,2,,
resver,2,,
divaguer,2,,
songerie,2,,
marquer,2,,
provide,2,,
crocodile,2,,
fleuve,2,,
marécage,2,,
mélangeant,2,,
pote,2,,
laissé,2,,
ranger,2,,
cônes,2,,
père,2,,
fermer,2,,
flottant,2,,
heureusement,2,,
tronc,2,,
échappé,2,,
port,2,,
samedi,2,,
odeur,2,,
noir,2,,
visiter,2,,
respirer,2,,
délicieux,2,,
letra,2,,
étudiants,2,,
combien,2,,
orthographe,2,,
minutes,2,,
suggestions,2,,
poèmes,2,,
poésie,2,,
idéale,2,,
fables,2,,
fontaine,2,,
extraits,2,,
classiques,2,,
saint,2,,
magazines,2,,
romans,2,,
maritime,2,,
fiasco,2,,
appliquer,2,,
physiquement,2,,
move,2,,
change,2,,
faste,2,,
splendeur,2,,
décorum,2,,
conservent,2,,
officiel,2,,
traverser,2,,
couloir,2,,
thread,2,,
somewhere,2,,
going,2,,
translittération,2,,
excellent,2,,
tumultueuses,2,,
thunder,2,,
idiomatiques,2,,
tombe,2,,
paysage,2,,
mnémonique,2,,
chargé,2,,
text,2,,
free,2,,
online,2,,
loup,2,,
plume,2,,
statue,2,,
regardé,2,,
chemin,2,,
applaudi,2,,
voler,2,,
regardaient,2,,
rêvait,2,,
enfance,2,,
espère,2,,
fleurs,2,,
fleur,2,,
doucement,2,,
indirectes,2,,
arriveras,2,,
partons,2,,
répétées,2,,
contient,2,,
indirecte,2,,
soutient,2,,
formalité,2,,
conscient,2,,
utilisent,2,,
chasser,2,,
consonnes,2,,
forvo,2,,
api,2,,
alphabet,2,,
phonétique,2,,
imitez,2,,
figaro,2,,
obs,2,,
écoutez,2,,
disponibles,2,,
dictée,2,,
entraînez,2,,
vocale,2,,
speechling,2,,
rosetta,2,,
identifier,2,,
requires,2,,
pratiquez,2,,
finale,2,,
muet,2,,
hôtel,2,,
shadowing,2,,
coffee,2,,
break,2,,
natif,2,,
édith,2,,
piaf,2,,
utile,2,,
répertoire,2,,
diction,2,,
familiariser,2,,
parfaite,2,,
ballade,2,,
garou,2,,
écoute,2,,
chantant,2,,
enregistrement,2,,
vidéos,2,,
rôde,2,,
erre,2,,
roulent,2,,
wanders,2,,
open,2,,
under,2,,
roll,2,,
souffle,2,,
instant,2,,
tab,2,,
concevoir,2,,
imaginer,2,,
plan,2,,
com,2,,
vagabonder,2,,
languette,2,,
dieu,2,,
œil,2,,
tongue,2,,
lips,2,,
mouth,2,,
fermé,2,,
michel,2,,
cueille,2,,
visa,2,,
abonnements,2,,
applicable,2,,
animaux,2,,
local,2,,
marchés,2,,
cafés,2,,
damn,2,,
interesting,2,,
hit,2,,
cut,2,,
